team,position,weighted_pick,weighted_round,player_count
DAL,DL,46.584168865435366,1.9786279683377308,16.0
DAL,P,70.0,3.0,1.0
DAL,LB,88.92710141333994,3.161170344656583,7.0
DAL,WR,100.82424242424243,3.297643097643098,9.0
DAL,RB,112.29458179905315,4.032614413466597,7.0
DAL,OL,123.76362781954889,4.064027255639098,16.0
DAL,QB,137.86588235294116,4.0988235294117645,3.0
DAL,TE,136.39395370807748,4.270193670288144,6.0
DAL,DB,178.2882406287787,5.41369407496977,19.0
DAL,K,260.0,8.0,1.0
DAL,LS,260.0,8.0,1.0
NYG,QB,31.72235294117647,1.383529411764706,3.0
NYG,LB,81.21006761833209,2.977761081893313,18.0
NYG,DB,78.86422725084256,2.9813432835820897,21.0
NYG,WR,128.5741849634065,4.178531825238412,17.0
NYG,RB,125.81988304093568,4.205847953216375,5.0
NYG,DL,130.15197334700153,4.315991799077396,9.0
NYG,TE,143.7363437727604,4.920611798980335,8.0
NYG,OL,156.19487541137755,5.0236248236953465,15.0
NYG,K,260.0,8.0,4.0
NYG,P,260.0,8.0,2.0
NYG,LS,260.0,8.0,1.0
PHI,RB,28.953394706559266,1.6179516685845803,6.0
PHI,WR,48.71682692307691,1.9966346153846153,11.0
PHI,LB,58.979683972911964,2.149125282167043,15.0
PHI,QB,63.958823529411774,2.3247058823529416,5.0
PHI,DL,92.06525529265255,3.1354919053549186,13.0
PHI,DB,97.1932384341637,3.3637010676156582,19.0
PHI,TE,103.43037459283386,3.421824104234527,5.0
PHI,OL,125.91753057658707,4.296913220733838,17.0
PHI,K,153.0,5.0,1.0
PHI,P,191.0,5.999999999999999,1.0
PHI,LS,260.0,8.0,1.0
WAS,QB,24.890459363957604,1.579505300353357,5.0
WAS,K,99.0,3.0,1.0
WAS,TE,84.88707653701381,3.0941028858218322,7.0
WAS,DL,82.24567307692308,3.096634615384616,18.0
WAS,WR,86.23047619047621,3.164285714285715,15.0
WAS,DB,103.03541166055393,3.493866194511193,19.0
WAS,OL,116.24677121771217,3.714252767527675,16.0
WAS,LB,129.16655837123673,4.400259909031838,9.0
WAS,RB,207.27890761185358,6.187100522951773,7.0
WAS,P,260.0,8.0,1.0
WAS,LS,260.0,8.0,2.0
